Born,City,Pr/St,Cntry,Nat,LN,FN,Position,Team
1994/01/26,Edmonton,AB,CA,CA,Goulbourne,Tyrell,LW,PHI
1995/02/14,Chicago,IL,US,US,Hayden,John,RW,CHI
1995/04/17,Cherepovets,,RU,RU,Buchnevich,Pavel,RW,NYR
1986/02/18,Meadow Lake,SK,CA,CA,Comeau,Blake,LW,COL
1992/12/08,Stockholm,,SE,SE,Janmark,Mattias,C,DAL
1995/08/26,Pointe-Claire,QC,CA,CA,Duclair,Anthony,LW,"ARI, CHI"
1991/10/29,Moscow,,RU,RU,Zaitsev,Nikita,D,TOR
1983/02/04,West Seneca,NY,US,US,Stempniak,Lee,RW,CAR
1990/06/04,Prince George,BC,CA,CA,Manning,Brandon,D,PHI
1994/05/13,Penza,,RU,RU,Slepyshev,Anton,LW,EDM
1995/04/10,Herning,,DK,DK,Bjorkstrand,Oliver,RW,CBJ
1994/06/20,Pickering,ON,CA,CA,Caggiula,Drake,LW,EDM
1985/07/30,Grand Rapids,MN,US,US,Goligoski,Alex,D,ARI
1986/04/28,Sternberk,,CZ,CZ,Krejci,David,C,BOS
1995/09/13,Buffalo,NY,US,US,Wood,Miles,LW,NJD
1995/03/20,Mississauga,ON,CA,CA,Paul,Nick,LW,OTT
1994/05/14,Kitchener,ON,CA,CA,Auger,Justin,RW,LAK
1994/07/08,Ann Arbor,MI,US,US,Copp,Andrew,C,WPG
1995/01/12,Hamilton,ON,CA,CA,Harpur,Ben,D,OTT
1990/09/08,Hodonin,,CZ,CZ,Kempny,Michal,D,"CHI, WSH"
1989/07/27,Ivry-sur-Seine,,FR,FR,Auvitu,Yohann,D,EDM
1993/07/11,Mississauga,ON,CA,CA,Strome,Ryan,RW/C,EDM
1986/04/25,Togliatti,,RU,RU,Emelin,Alexei,D,NSH
1995/02/09,Klagenfurt,,AT,SE,Burakovsky,Andre,LW,WSH
1995/03/07,Grosse Pointe,MI,US,US,McCarron,Michael,RW,MTL
1986/04/21,Ostersund,,SE,SE,Edler,Alexander,D,VAN
1994/11/30,Eisenstadt,,AT,SK,Dano,Marko,C,WPG
1995/03/02,Regina,SK,CA,CA,Klimchuk,Morgan,LW,CGY
1995/07/04,Georgetown,ON,CA,CA,Dickinson,Jason,C,DAL
1994/09/20,Hilton Head Isl.,SC,US,US,Hartman,Ryan,LW/RW,"CHI, NSH"
1995/08/05,Anaheim,CA,US,US,McCoshen,Ian,D,FLA
1995/02/22,Orillia,ON,CA,CA,Bigras,Chris,D,COL
1995/04/20,New Haven,CT,US,US,Erne,Adam,LW,TBL
1995/05/20,Arvika,,SE,SE,de la Rose,Jacob,LW,MTL
1995/04/08,Northbrook,IL,US,US,Compher,J.T.,LW,COL
1995/05/15,St. Petersburg,,RU,RU,Zykov,Valentin,LW,CAR
1995/03/27,Repentigny,QC,CA,CA,Dauphin,Laurent,C,ARI
1995/04/16,Cornwall,ON,CA,CA,Elie,Remi,LW,DAL
1995/02/08,Uppsala,,SE,SE,Hagg,Robert,D,PHI
1995/03/07,Bronxville,NY,US,US,Santini,Steven,D,NJD
1995/03/22,Delta,BC,CA,CA,Petan,Nic,LW,WPG
1994/12/01,Boras,,SE,SE,Olofsson,Gustav,D,MIN
1995/05/09,Calgary,AB,CA,CA,Heatherington,Dillon,D,DAL
1995/01/28,Stockholm,,SE,SE,Dahlstrom,Carl,D,CHI
1995/07/01,Buffalo,NY,US,US,Bailey,Justin,RW,BUF
1995/04/22,Winnipeg,MB,CA,CA,Bowey,Madison,D,WSH
1995/07/04,Piikkio,,FI,FI,Lehkonen,Artturi,LW,MTL
1987/01/13,Thunder Bay,ON,CA,CA,Staal,Marc,D,NYR
1994/12/20,LaSalle,QC,CA,CA,Carrier,William,LW,VGK
1995/02/24,Sudbury,ON,CA,CA,Bertuzzi,Tyler,LW,DET
1985/01/30,Greenfield Park,QC,CA,CA,Mitchell,Torrey,C,"MTL, LAK"
1985/03/21,Rochester,NY,US,US,Callahan,Ryan,RW,TBL
1989/02/16,Toronto,ON,CA,CA,Liambas,Mike,LW,ANA
1994/11/15,Tarrytown,NY,US,US,Pesce,Brett,D,CAR
1986/05/13,Lethbridge,AB,CA,CA,Versteeg,Kris,RW,CGY
1995/08/04,Ottawa,ON,CA,CA,Baptiste,Nicholas,RW,BUF
1995/09/01,Halifax,NS,CA,CA,MacKinnon,Nathan,C,COL
1995/09/02,Tampere,,FI,FI,Barkov,Aleksander,C,FLA
1995/03/28,Ste-Agathe,QC,CA,CA,Drouin,Jonathan,LW/C,MTL
1994/10/03,Arlington,TX,US,US,Jones,Seth,D,CBJ
1994/12/02,Boden,,SE,SE,Lindholm,Elias,C,CAR
1994/10/12,Brampton,ON,CA,CA,Monahan,Sean,C,CGY
1995/02/04,Hamilton,ON,CA,CA,Nurse,Darnell,D,EDM
1994/10/27,Turku,,FI,FI,Ristolainen,Rasmus,D,BUF
1995/04/05,London,ON,CA,CA,Horvat,Bo,C,VAN
1995/07/12,Lac-Beauport,QC,CA,CA,Morin,Samuel,D,PHI
1995/03/02,Winnipeg,MB,CA,CA,Domi,Max,LW,ARI
1995/03/28,Calgary,AB,CA,CA,Morrissey,Josh,D,WPG
1994/09/22,Stockholm,,SE,SE,Wennberg,Alexander,C,CBJ
